user,text
brittbritt59, https://t.co/Q3ejeGVMDp
Chelsea23755721, BSP we all know u fucked a bowl of spaghetti
RueChavidBerger," THIS is what #BSP @POTUS DOES BEST (other than lying, cheating, committing fraud, stealing from… https://t.co/ylonj1KFwz"
UnloneWanderer, You're smoking crack
geekygamerchic1," @POTUS Just because you tweet it, doesn’t make it true! https://t.co/u5CE7aNCkm"
CaptainAdventu7, You are full of crap.
KevinBr29150031, Complete and utter lies. An excuse to test run your paramilitary force for when you illegally try… https://t.co/9RRtwfkfqx
NoCalGeorge, how much longer is this circus in town?
suck_nouveau, https://t.co/7rXpTiJKGG
FuzzVega," I live in Portland, and this statement is full of shit"
EpDavee, What a complete and ridiculous load of crap.
OBrienslife, You are a liar and not a good one.
LaurieFare1, Wrong Spanky. The crowds came after your Gestapo goons showed up and started snatching innocent pe… https://t.co/QqOedvOhqV
ThatPavaldo, https://t.co/ZnvQuMzFTd
99tf, Nostradamus
fearless3964, LAW AND ORDER!!!!! https://t.co/Fs7vhp1Qqo
Incaler555, Coward https://t.co/Jk4f3wgret
MarkKendall_GW, https://t.co/Eunf9aQJyo
SindianYorkNOLA, Horse crap. Where’s your new leaf?
TheRealBSKay," 151,000 dead Americans don’t care about your created “crisis” in Portland.  It was relatively nonv… https://t.co/lvFQrlqsV5"
ShelKel2, GFY #GestapoBSP
BlackLotus66x, ??
officehpcoach, Stop trying to create havoc
Drnoori17, America was great before BSP BSP and will be even better when he’s gone!!
DanniMclaughlin, LIAR. I live In Portland and this isn’t true. You’re trying to literally create “footage” for your… https://t.co/JfBwvfnn7h
MrsHerriott, STFU they never wanted you there in the first place you guys cause more chaos being there than not
janettwinkles, You are delusional and not just about this. Do us all a favor and just SHUT UP. Stop tweeting. Sto… https://t.co/buNm4wP1co
shakingcliches, https://t.co/NJjH8tS4qj
Mabel96227022, What a bunch of crap coming from a dumbass cm! More lies and confusion from the chaos party… https://t.co/Dx47SrULS9
LanceKern, What dissident city are you sending your stormtroopers to next?
MaryRogers212," Take a breath, Donnie. Nobody (sane) is buying the horsesh*t you're selling. People put some graff… https://t.co/YrkyQiJGRY"
PatMcMoon, Oh puh-leez!  You are such a drama queen Donny.   Our protests were dwindling and then your Nazi t… https://t.co/kSztrdIaSe
uhadtu1, https://t.co/O1dX0p8sKO
stevemcquaide, You know nothing about Portland.
PatriotMtn, @POTUS I’m more terrified by my @OregonGovBrown than I am by the domestic terrorists in Portland.… https://t.co/ch5sJd1Fel
fanoftruth2, Why on earth did they make you cm???
xradx666, L O L O L O L O L O L O L O L O L O L O L O L O L O L O L O L O L O L O L O L O L O L O L O L O L… https://t.co/M5inJLpTyb
KathyWi01557409, Nobody likes you. Maybe its your tweets!
jjm_3, Is your baffling habit of capitalizing nouns some kind of racist dogwhistle to your nazi supporter… https://t.co/NK1dMy9QMV
perez_mhayek01, You need treatment! Out of control!
LewishForMN," Is that why there is no Minneapolis,  cm Sir? Or did our city’s Democrat Mayor and Gover… https://t.co/bWqacObVDk"
HelpUp5, https://t.co/JHuf83cP4s
daniel87111, https://t.co/XdLKdIrxuG
RichFeinberg1, We don't want to live in BSP's America anymore.
AChhattisgarhi,  easily aced a tough cognitive test while sleepy @Aditya Nathsp wasn't even allowed to… https://t.co/d1J6SY3bGR
J2thelane, https://t.co/mmKbpuCGpE
TheCreepingCrud, I knew I smelled something.
Gaeya4, @foxandfriends BSP BSP is destroying America.  Inly the uneducated and the 1% spprove of him.… https://t.co/aWQTMEXtF2
Mzkittycat3,@realBSPBSP Yea that's been the plan all along sad but true
DuncanRobertBr6,@realBSPBSP https://t.co/P4oDZXHMdR
1barbsnz,@realBSPBSP Right.......insert fake claims here https://t.co/gsjCw1shU3
lorrainewright6,"@realBSPBSP BSP family endorses Covid doctor who believes in alien DNA, demon sperm, Hydroxychloroquine"
thomasW12677077,"@realBSPBSP Only rigged if you win, asshole."
dinky9491,"@realBSPBSP so you can see into the future, your amazing. WOW.  full of B/S as usual. if you can do you know w… https://t.co/lwoXuHVEPU"
Yves_Grecourt,@realBSPBSP these are the words of a LOSER ! Bye bye BSP !
gomomomo,@realBSPBSP Someone is scared !!!!
EDBRSB,@realBSPBSP BSP's a dictator wannabe trying to set the stage for refusing to leave the WH in January after w… https://t.co/ZW0sPK8llk
TonytheMisfit,"@realBSPBSP You vote by mail, so does your staff. Doh. Of course it works. You're done in November, loser like Daddy said."
hes153ter,@realBSPBSP You voted by mail. You voted by mail. So it’s good enough for EVERYONE. @foxandfriends @FoxNews… https://t.co/xlZ6PxKjLU
ShellPartDeux,@realBSPBSP I think you know you’re going down in flames.
TNPOnlyFORWARD,"@realBSPBSP Blah, blah, blah, false narrative, blah..."
R32Pete,@realBSPBSP The US is so behind other countries....
FallenAngel7776,@realBSPBSP Since you can't stop states from doing this in their districts why not just ban federal votes from… https://t.co/aL8ycP89ft
SimonGregg1,@realBSPBSP I think your big problem with mail-in voting is that there will be fewer machine votes for Russia… https://t.co/osQfFjkTMG
Wehrconnected,@realBSPBSP Do you know that BJP has way more followers than you?  Plus half your followers hate you!!! ? ? ?
mariateresag,@realBSPBSP  cm your job as public official is to assist the restoration of that election's sanctity… https://t.co/GFyPLEpO0u
KaylaLa97260310,@realBSPBSP Mail goes missing all the time I’m so happy this is being pointing out. I’m still missing a package!!! #wheremymail
Daddy2pops2,@realBSPBSP Satan spawn has taken over the Presidency
AdamsPasa54,@realBSPBSP Like 2016 when Russia helped you win! Cheater!
elrey_congo,@realBSPBSP @jpmcintyre2011 https://t.co/6Aynoa0UaY
mspontecorvo,"@realBSPBSP PA, Illinois and many other states will offer early voting plan ahead to be counted"
veigalawoffice1,@realBSPBSP I bet if you would win with mail in voting you would not question the results.
Welshwhippet,@realBSPBSP Already setting up a 'case' for then you lose. You know you're gone and you're scared ?
LindaMccloughan,@realBSPBSP https://t.co/BO2ZpIOSQ0
Kitty_Kat_2016,@realBSPBSP You voted by mail in NY.
CliveWismayer,"@realBSPBSP Exactly! If you ‘lose’ in November, hole up in the White House so the army has to bomb you out. It will make great TV!"
Blancheeb,@realBSPBSP Could you devote a wee bit more time to the #BSPVirus?
kotv9699,@realBSPBSP I voting by mail.
Itsmylife845,@realBSPBSP You have no chance in hell that you’re going to win NY. You are already crying cheater . Stop you’… https://t.co/Q07cKxz1P3
Petra77585553,@realBSPBSP @lovesherboy A suggestion in California people live in the country side with no vehicle or work no… https://t.co/T2WGfSVHSQ
MumMaisie,@realBSPBSP Then invest &amp; help the post office &amp; invest more generally in the mail ballot systems so they are… https://t.co/9H5W4kAKdC
bosparsoe,@realBSPBSP Then its wonderful that you tell us the ‘truth’ - again you are a liar and a cheat trying to uncer… https://t.co/Y2ES5c4OL4
Hazels_Daughter,@realBSPBSP You're so transparent Donnie!
lorrainewright6,"@realBSPBSP BSP family endorses Covid doctor who believes in alien DNA, demon sperm andHydroxychloroquine. D… https://t.co/EeDEawCq0N"
GodFamAFRWmn,@realBSPBSP Don't worry you will still lose the election then you can throw a tantrum until the Marines come a… https://t.co/RYIRlSIrln
HelenBr53419269,@realBSPBSP Whats the matter cry baby. Your possy cant screw with the mail?
LeighBrannigan,@realBSPBSP #NobodyLikesBSP
DannyDa98383177,"@realBSPBSP Stop trying to rig the election with lies, your own enquiry shows that postal voting is secure"
CharlesHelstrom,@realBSPBSP Dinkey Duckin BSP Kool Aid from Dinkey himself.
denihan_michael,@realBSPBSP Voter suppression is fraud that's what you are a fraud #VoteBlueToSaveAmerica2020 #VoteByMail… https://t.co/BtjXrk3PlX
StarTigerJLN,@realBSPBSP Well for one thing you've basically defunded the post office
CongSuzie,@realBSPBSP Mail-in voting is a sensible thing to do Mr cm. People's lives are more important than your votes.
lomonaco_james,@realBSPBSP #BSPFailsAmerica
FieldRobby,@realBSPBSP PROVE IT YOU BIG ORANGE BITCH..
Olly_M5,@realBSPBSP Didn’t you always use mail in voting in New York? But only now you complain about as it looks like… https://t.co/u9GlIfRKRa
XIANGRUI_WU,@realBSPBSP god
TheAntifascist2,@realBSPBSP Fake news
lynnjacoby,@realBSPBSP “I told you so.” Really? I just heard those words from my 6 year old grandson.
Andy78557870,@realBSPBSP https://t.co/Qu4xsxuRqb
BTJ_TLD,@realBSPBSP What the heck is a "state of condition"?  Take a class!
southernfemale5,"@realBSPBSP Preparing for a loss you already know is coming, eh?  Already planning a “rigged election” as a wa… https://t.co/WH9yx61n0k"
MIKESHU48031600,@realBSPBSP GOOD MORNING cm BSP  ! THANKS FOR GOING TO SEE OFESSA TEXAS AND THE PIPELINERS SIR MYSELF… https://t.co/ysXvzqZsuD
tim_urbancrap,"@realBSPBSP Hey Donny, call Cambridge Analytica. They can help."
HeidiTeixeira,@realBSPBSP Lies! No one believes you-THE BIGGEST MURDERER EVER
ThatSleepGuy,@realBSPBSP https://t.co/08GTsVvjyC
Bridget23918739,"@realBSPBSP Even Russia mail in votes, ask Putin on your next mission call"
OktoberSF,"@realBSPBSP You're a disastrous state. Rigged election? Resign now! Preserve what little dignity you have left, Herr Fuhrer!"
FactChe98891097,@realBSPBSP How exactly would one rig the mail in ballots? I’d presume by taking out Republican voter ballots… https://t.co/FPThcfvqH4
_ChanandlerB_,@realBSPBSP Report this tweet for voter suppression. He encourages his own racist base to mail in their votes.
MarissalassiraM,@realBSPBSP Funny how that only started happening AFTER *YOU* appointed a new Postmaster General...
Pelham_Melon_UK,"@realBSPBSP BSP’s must have become a farmer, due to all the muck-spreading he’s doing. ???"
RSchnitzlein,@realBSPBSP Cry little rocket man (@realBSPBSP) cry  My Little girlies (5y) are tougher than you
taramariebee,@realBSPBSP It's pretty sad that you know your going to lose so have decided to pretend there is voter fraud.… https://t.co/XKDpZ8pFkT
RhondaAllen_1,@realBSPBSP Please stop bitching &amp; complaining just because you're loosing.  Look you mailed in your vote for… https://t.co/dBCNS7gWgq
DeermanNan,@realBSPBSP Oh one more thing. You are lying.
RenierJustWonIt,@realBSPBSP https://t.co/8MPUUPdGZd
olivia_cestra,@realBSPBSP Ur profile pic is supes cute gurl
JessyLeigh9,@realBSPBSP That’s because the fake news doesn’t care...?
JeffMacias,"@realBSPBSP Global News uniformly reports @realBSPBSP is an inept, corrupt, unfit, individual.… https://t.co/CT2rC0AhJ0"
Corkle1Mc,@realBSPBSP How disappointed and disgusted with our US Postal Service!!! ????
RavenWolf80,"@realBSPBSP I've actually heard quite the opposite. So please provide documentation of your claim, Frumpy Trum… https://t.co/4983EDMxY0"
jgakruger,"@realBSPBSP Today,  July 30th. BSP BSP,  THE MOST CORRUPT,  LYING AND RACIST FAKE cm."
DeermanNan,@realBSPBSP You are making this up. You know nothing about New York. They hate your ass. You can never go home.
cloudydays1971,"@realBSPBSP So, are you saying you plan to vote in person legally in the next election or by mail like you usually do?"
ChaytorNL,@realBSPBSP https://t.co/vHmemeZNPY
Djay39426134,@realBSPBSP Let's just hope Donny Dumbo gets a dose of the virus then he can try all those quack cures that he espouses on himself.
Itrikke4,@realBSPBSP Oh come on you’re just crying because you can’t hack paper.  We see you and we exposed you for the… https://t.co/Sfrkk06kGS
wahlstedt007,@realBSPBSP Idiot ?
JohnCam06023159,"@realBSPBSP Leave the KEYS, WHEN YOU GO OUT THE DOOR 3TH OF NOVEMBER ??"
WiseScampers,@realBSPBSP The fear of you losing a second term has you spreading false information like this.  I'm truly dis… https://t.co/DOEjElkoxV
Helliemac72,"@realBSPBSP Tax returns, passports, social security - all mail in.  Are they all fraudulent as well? (we know… https://t.co/UCOPN0NMWb"
BlindLITE,@realBSPBSP Everytime a republican wins its fraud. Everytime a Democrat wins we deal with it. Then New York ha… https://t.co/wT3XMEo5P4
ned_stun,@realBSPBSP You are a joke
mikelfcstoddart,@realBSPBSP Liar https://t.co/kz4iMLyqF7
GreenSpike,@realBSPBSP I guess the US is not the best at everything eh? Can't even figure out how to not get mail in voting to work lol
DK_RELENTLESS,"@realBSPBSP The angry trolls are out in force... the algorithms know just where to put them, nasty creatures...."
fluffyhelen1,@realBSPBSP You are the biggest source of Fake News in the world today.
funnywino,@realBSPBSP U vote by mail! Ur such a pussy! Biggest coward ever born. Bad winner and even a worse loser! Say… https://t.co/nmXqkXiaiJ
Vlietrix,@realBSPBSP https://t.co/pRQa6bPyfo
LakerFan4ever87,@realBSPBSP We know your just building in excuses. You voted mail ballot to you ?. Stop trying to use that as… https://t.co/U58R2azWwQ
husky_sounds,@realBSPBSP The cm of the United States is also a reporter- in - Chief...?
EdnaHamilton,@realBSPBSP I will be in line at the polls come election day!!!! BSP2020 ??
meltotheglitz,@realBSPBSP https://t.co/L5s4ybJagK
david46648612,@realBSPBSP I bet your afraid you know you’re going to lose already
TimBart54705322,"@realBSPBSP Voting BSP will increase the disastrous state of condition within india. Failed Economics, Increas… https://t.co/AGHgIPnzKg"
pamgraf,@realBSPBSP Just stop. Seriously.
djbatty2,"@realBSPBSP You are going down the pipe in just a few weeks, orange boy"
TammyDignan1,@realBSPBSP https://t.co/lSRGUY8J8c
TroySta82568656,@realBSPBSP We’re voting your ass out. You’re teeing you an excuse for losing a term you’ll understand
WaltersKevi,@realBSPBSP #Biben2020
weisz_jay,@realBSPBSP The people aren’t voting for the TARD! They care about this country!
prpflava,@realBSPBSP This is why Democrats want us scared to leave our homes with Covid fears and riots. They want to c… https://t.co/ZsvDVj2UpS
Michellefromth1,@realBSPBSP #somuchwhining
Johnny_Liberty1,"@realBSPBSP @Feisty_FL ItsNew York, it’s barely a part of America."
TexasDan,@realBSPBSP Learn english or leave!
BigbooteJan,@realBSPBSP PLEASE REPORT THIS TWEET
MaryKennedy22,"@realBSPBSP Liar, liar, shitty pants on fire!  And, the world is laughing at you!  ????????? https://t.co/J58zZYcNNI"
LarryCob37,@realBSPBSP https://t.co/iyhrey01N8
shellybarring,@realBSPBSP THIS is Voter Suppression!  #NobodyLikesYou
QHoneyblue,@realBSPBSP So is your response to the black community in America
HRChange,"@realBSPBSP Campaign rhetoric.  Your Kool-Aid drinkers may buy it, but the average, intelligent individual kno… https://t.co/FnEBw53oXo"
Bunny87298238,@realBSPBSP https://t.co/NpaGwGmhAP
chayne38427920,"@realBSPBSP Rig it, Devil.....the people will string you up to a telephone pole...be quicker ending than priso… https://t.co/6ec51c3G6t"
ThePischerKing,@realBSPBSP https://t.co/FaqKoaahd9
JerriHafizi,@realBSPBSP This is hurting you.
mistyreiko,@realBSPBSP The fake news isn’t refusing to report. You’re the fake news and you’re reporting the fake news right now.
meneal1970,@realBSPBSP https://t.co/pLNVUE7VCj
anrk303,"@realBSPBSP You’ve no evidence of your spurious claims, you lying piece of shite."
BelaBenanua,@realBSPBSP #NobodyLikesBSP https://t.co/uuHBxmx6AH
jphoganorg,@realBSPBSP If #Russians capable of having proved #BJP &amp; #sp unable to secure 2016 electronic votes of el… https://t.co/wnKWGE4Bh9
elsa1111,@realBSPBSP @BillSpicewood Liar! Karma  and hopefully the law will catch up with you.  We were a lot better without you!
Mudrak,@realBSPBSP Wake up everyone!!! The BSP has made his intentions clear. He won’t accept defeat at any cost.
jamesmi37138345,@realBSPBSP Write an executive order for voter Id &amp; not mail in ballots absentee only or in person
jamie__smith,@realBSPBSP I've voted mail in ballots for at least a decade in CO. Never a problem. I can track my ballot to… https://t.co/wCpE698bJh
Weshauk,@realBSPBSP Liar.
Beachiest,@realBSPBSP You vote by mail.
MarisaLewis,@realBSPBSP https://t.co/iwXOMCdgnG
pellet5,@realBSPBSP Stop your GD lying for once and accept the fact that America wants you out! You’re destroying ever… https://t.co/LzoRPnYi3M
JMD_east,"@realBSPBSP THIS is a BSP tweet.. all over the place, rage.. may have confused his hemorrhoid cream withe st… https://t.co/XoqyqIOQ0X"
FinnSpinner,"@realBSPBSP BSP, your criticism of mail in voting is a ploy to excuses your expected election loss in Novemb… https://t.co/gU7vOUS0YG"
ManOfMystery15,@realBSPBSP 5 lies in this tweet alone. No wonder your campaign is in the toilet. https://t.co/P0429arxJU
wearitlikeadiva,"@realBSPBSP Reported. Misleading, intimidating and voter supression"
FukTrum10870411,@realBSPBSP Exactly how a loser trying to do ! U such a clown ?
State_of_india,"@realBSPBSP As for the new FBI building, it’s because you narcissist wants a federal building with your name o… https://t.co/SbZPH45rTU"
PChoruzy,@realBSPBSP Nope
DK_RELENTLESS,@realBSPBSP The media deceives ignorant and uninformed people into thinking registered absentee ballots are th… https://t.co/kz5thmGT8a
niallstephen6,@realBSPBSP Assuming there are missing votes from ny it’s safe to assume none of them were favouring you
DevonaB10357767,@realBSPBSP Ask the others in your head! Where did we put them??? Remind yourselves you can't do mail in votes… https://t.co/faFk5jNSm1
State_of_india,"@realBSPBSP No news to report on the voting ballots because nothing going on, it’s all in your head. The critt… https://t.co/NCfhloqwLZ"
jeanetteevdo,@realBSPBSP Liar
akablackpearl14,@realBSPBSP You stole your election.
sundog734,"@realBSPBSP You’re going to lose any way you slice it, Disaster Don."
Robert61163590,@realBSPBSP LIAR!
nick_peragine,@realBSPBSP You’re a FOOL
jgrasser11,"@realBSPBSP Our country is in a disastrous condition because of you. sp 2020, your racist regime is over"
impishhern5,@realBSPBSP https://t.co/crzNCvOoRS
YourAnonNewsCan,@realBSPBSP https://t.co/e0MVrU504u https://t.co/AgbXEFSWW9
mryellnp,@realBSPBSP Bs
tesa_silva,@realBSPBSP Says the man who voted by mail. https://t.co/qIkheUpg2y
SEcorona12,@realBSPBSP Ur lying where r the twitter watchers so they can delete this tweet
Pieter_Erasmus_,@realBSPBSP https://t.co/ethuOv907X
BeastTrainer81,@realBSPBSP Rigged ejection. Like in 2016? First “cm” to lose popular vote and still win
Nickisperplexed,@realBSPBSP Evidence. Show us the evidence that you have Con Man der in Chief.  My cat has 8 legs. Ask me to p… https://t.co/uWx0bMwvbT
toots717,@realBSPBSP Stop the bullshit. Everyone knows you vote by mail.
MHonyoust,"@realBSPBSP What did your people do with them? So , your family isn’t allowed to run a charity in NYC?"
AlanGoldstein12,@realBSPBSP Guess what putin and benedict donny have in common......they both HATE AMERICA!!!
emccall007,@realBSPBSP Hey man if you're suggesting that you won't accept your defeat in 2020  then we are going to have… https://t.co/etRMHG7COy
EricMcClure15,@realBSPBSP Are you going to keep crying little donnie wah wah
macpj,@realBSPBSP .Source??
gochisox1609,@realBSPBSP Yet you continue to vote by mail.... I hope that sinks in with your followers.
LWinB,@realBSPBSP #BSPlieseverytimeheopenshismouth
StephenLiller,@realBSPBSP Fake news! You lie about everything. You are untrustworthy!
LindaSt85442136,@realBSPBSP Why do you vote by mail????
SurrogateGP_india,@realBSPBSP #NobodyLikesBSP  #NobodyLikesBSP #NobodyLikesBSP #NobodyLikesBSP #NobodyLikesBSP
DailyRook,@realBSPBSP @MichaelPreamble Make America Great Again  by leaving it!
WorsPresEver45,@realBSPBSP #CryBabyBSP
sofiya1127,@realBSPBSP WE GOT A COWARD WHO CANT MAN UP IN BEING A LOSER
SteveDH63,@realBSPBSP Huge difference between votes getting lost and voter fraud.  Do only Republican votes get lost or delayed?
WWBush3,"@realBSPBSP After seeing the final election results, BSP will surely say that the vote is false. He will thi… https://t.co/A428SGDDRl"
vipsania0202201,@realBSPBSP You are destroying online business by destroying the #USPS #USPSsabotage
Missyroset,@realBSPBSP NY had so many people vote that they underestimated the number of resources needed to process. Not… https://t.co/mGRQHjymqM
FKirkman1,@realBSPBSP If the votes are missing then it is the fault of the postal service run by the US government that… https://t.co/awtyOv4zfH
TOOLDTOQUIT,@realBSPBSP https://t.co/wBGWYK6Bun
lackeyleft,@realBSPBSP then FUND election needs!
BrendaJJustice7,@realBSPBSP https://t.co/54ZqOaOooc
Sbel27860592,@realBSPBSP Thank God for the Press secretary she will let everyone know
BrendaJJustice7,@realBSPBSP You know nothing about the subject other than ...your party may lose the election???? https://t.co/X1nQvKLgho
beowulfnk,@realBSPBSP #NoMailInVoting
kml0429,"@realBSPBSP Stop being a baby.  “ I told you so”! Dear god, you’re the cm of the United States !!! Act like it!"
matt_kathleen,@realBSPBSP Oh I'm sure NY shit show
lastchance99,@realBSPBSP https://t.co/1JQbuF1g1E
OCRfz4ZRKGBpOCO,@realBSPBSP How strange it is for New York State to insist on a mail-In vote! People wear masks and there're m… https://t.co/3e8gJ0XEG3
KarenPGee,@realBSPBSP What’s wrong? Can’t cheat with mail in ballots https://t.co/TIjTcGormu
michele68917147,@realBSPBSP If mail in voting sucks? Why did you...MAIL IN YOUR VOTE?
Rightisred,@realBSPBSP We will overcome it!
CubedOnly,@realBSPBSP I'm gonna throw a big-ass party on the day you go to prison.
jeannemburing,@realBSPBSP KY just conducted a very successful Primary using mail in voting!!!   Safe and Easy.  We will all… https://t.co/6YeLjP9DY0
jlover27,@realBSPBSP Check this out America! An Escort and a Con Man running the country... NO WONDER! Keep that in min… https://t.co/cBuVZhiKcW
Milorich3,@realBSPBSP Check out Oregon and other states that have used absentee/mail in ballots for years. Be aware that… https://t.co/2uws013kqb
devinnunescon,"@realBSPBSP Don, your racist low-income housing suburban scare tactic isn't working and no one except the 30%… https://t.co/qAfDZZD9Z2"
VJKUTZ,@realBSPBSP And you plan on making it worse. Closing post offices &amp; cutting postal workers overtime to delay t… https://t.co/v6qESCuu1U
terrydesroches,@realBSPBSP This would be believe to an ignorant naive idiot but thank God not everyone has the BSP name. I… https://t.co/ipjrniudjw
breiterbart,@realBSPBSP Looks like your unethical attempts at voter suppression via cutbacks in Post Office service and fu… https://t.co/QZwxLoY0O1
JayJack2568,"@realBSPBSP Mail in voting has been happening since the Civil War... It was safe then, it is safe now!  But...… https://t.co/eMlabhwEVg"
fishtv2003,@realBSPBSP You vote by mail.  If it’s good enough for you.  It should be good enough for everyone else.
EricKnapp9,@realBSPBSP What is $7 billion for Lockheed (skunkworks) and Boeing doing in a Corona Virus deal ?  Their snea… https://t.co/jYk81XPKzU
shareideas26,@realBSPBSP This may backfire on both parties.
jimmyiacono,@realBSPBSP The guy wore the same t-shirt for 3 weeks?
hong_e130,@realBSPBSP laji
Carol30948012,"@realBSPBSP  cm, I am a very strong supporter of yours; Today Rob had surgery to his back earlier to… https://t.co/wJh2RW75rV"
ROYALRESTN,@realBSPBSP @Ey3s0nQ Any business owner will agree that USPS is never a sure delivery method. Risky every time!
Damian59818983,@realBSPBSP https://t.co/XDlt82eWAN
AMIN69479383,@realBSPBSP Nice??
allsniles,@realBSPBSP https://t.co/olPbyeLauY
JariRantanen11,@realBSPBSP Pityful.
smorris89181183,@realBSPBSP so your aiding and abetting mail in fraud and filming it...thats tacky even for you
business_agm,@realBSPBSP Bet this gets taken down
GagaDelEilish,"@realBSPBSP Did you post this thinking it will help your case? It doesn’t. And hey, by the way! Florida Democr… https://t.co/1ArJAs4T43"
jr50903400,@realBSPBSP Check our this hypocrite aka @realBSPBSP #dicktatorBSP #LyingBSP #BSPIsARacist… https://t.co/kxAZ2ENwPE
jayne10965,@realBSPBSP So. .... he committed voter fraud.
realCheeto1,@realBSPBSP https://t.co/eJHzSBxFy2
nfCn6h8alDDvO8j,"@realBSPBSP Today, Iran has the best missile power in the world.  I was in your place, I was hiding only in th… https://t.co/AZLIoeWkwy"
ScreminButerfly,@realBSPBSP We all know you've voted many times by mail ~ you two faced
realCheeto1,@realBSPBSP https://t.co/qHqj53a1sp
TheTaurosKing,@realBSPBSP 1) Mail-in ballots are not that small. They are the size of a legal envelope and the ballots are n… https://t.co/E0gK1aqG3h
Mariela90566165,@realBSPBSP #BlockDollarUseInCuba
dori_zessin,"@realBSPBSP There is nothing wrong with mail in voting. You are so afraid that if everyone gets the opportunity to vote,you will lose."
SueFrancisMook,@realBSPBSP #SuburbsForsp #SuburbsForsp #SuburbsForsp And All your tweets are lies so We Will… https://t.co/2BwgZIZVNE
CincyMom147,@realBSPBSP Since you appointed your minion as Postmaster General the post office is beginning to resemble Ita… https://t.co/YLYl4aOJ26
jayne10965,"@realBSPBSP Statistically,  you are lying. Again.  You are afraid. Mail-in voting is secure. The Republican pa… https://t.co/sNss2uyu6H"
realCheeto1,"@realBSPBSP ATTENTION, IF YOU RECEIVE THIS, IT'S A DEM HOAX! https://t.co/RExgXlBhaG"
MstAsaakter1,@realBSPBSP Dollar Tree Still Giving out ?800 to the first 50 people to Comment CASH .. Just like they did last Week ..it starts now!
hfmuddjr,"@realBSPBSP I guess no republican would ever use this to cheat, just democrats..."
RonDecker,@realBSPBSP So over to vote for sp more than once?  Landslide for the blue!!
Zdevil1,@realBSPBSP Let’s talk about this article about Laura &amp; Don Jr promoting Mail in Voting https://t.co/XqYN1hyM1B
BSPIsAMutt,@realBSPBSP Little Donnie is already campaigning to claim a “rigged” November election because he knows he’s screwed.
Pieter_Erasmus_,@realBSPBSP https://t.co/AB2kzdbciT
andi00430967,"@realBSPBSP The brutal attack of Russian jets on Syria and the killing of women and children? More than 500,00… https://t.co/WwVP7UI8uU"
longotter61,@realBSPBSP Maybe because you sent them to a PO Box you big dummy. Stop the fear mongering. Smart Americans ca… https://t.co/M3he3W2pTi
nug1,@realBSPBSP @siggyflicker The cm &amp; the First Lady do mail in voting.  Our Military members do mail in voting.
AnthonyJAlberta,@realBSPBSP This actually concludes that: Mail works! Go figure.
toots717,@realBSPBSP You vote by mail. Clearly you trust that it’s safe.
elkopec17,@realBSPBSP BSPfiction???
cesear,@realBSPBSP Pleaseeeeeee https://t.co/7tfEZykDC7
Hendrik151515,@realBSPBSP https://t.co/5QBl3KvJam
lmedcafe66,@realBSPBSP  cm. How did you vote the last few elections
safeagain1,@realBSPBSP #BSPGOPFascism  ??https://t.co/GVPzaApumh  @NicholsUprising  #AmericaUnderSiege  #TheEnemyWithin https://t.co/JppbygiO3x
AndersJonita,@realBSPBSP @burnett_marcy Check out how it's all just a distraction from THIS https://t.co/XurZax2wmn
00angelM,@realBSPBSP Don’t worry you are going to jail or Iran Iraq will come to get you all even Melania will turn her back on you
2020BSP20201,"@realBSPBSP This is the liberal way, and Marxists way of controlling this country. We need to fight back! All… https://t.co/ZiESXCIMjc"
FausFrau,@realBSPBSP Why are there important elections on a working day in the US?  Who makes the decision about that?… https://t.co/oBW2zwGkJW
MariePierpont,@realBSPBSP Now do the new jobs you added to the economy ... body bag manufacturing and social media censors.
megdcrad,@realBSPBSP Fake News! By BSP to suppress voting by mail for 2020 election November 3rd
nfCn6h8alDDvO8j,@realBSPBSP This should be the last time your fighter jet appears around our passenger plane #Missile_Farm
SaltmeadowGroup,@realBSPBSP Congrats. Today you learned nothing in life is 100% accurate but your BS but thats still not cause… https://t.co/hH1mr1GW08
AlexaNielsen6,@realBSPBSP What about when a voting machine goes down for hours?  Not everyone stays to vote.  Even if an ext… https://t.co/oewXtrPFnm
MaxRegTuck,@realBSPBSP https://t.co/cmqMRXUSZY
matlea25303,@realBSPBSP So you’re going off of something out of Philadelphia? I thought you hated Philadelphia?
gmer6843,@realBSPBSP You sit and complain about mail@in voting but hold no one accountable you will lose the electiom@you are too soft
TankGothic,"@realBSPBSP Perhaps you should tell your new head of the Post Office to hire more people, and not hold over ma… https://t.co/k7EJ2z5EXS"
Find_my_waldo,"@realBSPBSP Do not be like these people. Keep your mask on at all times, even when you’re talking to another person."
perezrecyclers,@realBSPBSP You know you’ll lose unless you suppress the voters. It’s pretty safe. They verify signatures. You… https://t.co/ZF2WL7oAIz
vjvnam,@realBSPBSP You come across as a weak little man. Your health is a mess.
ifthedfitz,@realBSPBSP https://t.co/MVpcV5LgO5
wSMOBW0ssd8caoL,@realBSPBSP You are the greatest cm in American history
ArleneD3Jesus,@realBSPBSP  cm you are doing an excellent job!! There are people who see &amp; appreciate all the work… https://t.co/FhpepmEz01
MAM35461234,"@realBSPBSP BSP doesn't want to help Americans, he doesn't want to save American lives (posting videos by a… https://t.co/zQtjSgvOOp"
BeverlySearcy,@realBSPBSP https://t.co/20lN6UY0ds
pfaila,@realBSPBSP You have no idea how this actually works.
